size,path,unused,tutorial
132,d3/d3-selection/selection/datum.js,false,false
869,d3/d3-selection/selection/dispatch.js,false,false
289,d3/d3-selection/selection/each.js,false,false
53,d3/d3-selection/selection/empty.js,false,false
792,d3/d3-selection/selection/enter.js,false,false
176,d3/d3-selection/selection/exit.js,false,false
546,d3/d3-selection/selection/filter.js,false,false
520,d3/d3-selection/selection/html.js,false,false
2216,d3/d3-selection/selection/index.js,false,false
468,d3/d3-selection/selection/insert.js,false,false
171,d3/d3-selection/selection/lower.js,false,false
575,d3/d3-selection/selection/merge.js,false,false
258,d3/d3-selection/selection/node.js,false,false
140,d3/d3-selection/selection/nodes.js,false,false
3119,d3/d3-selection/selection/on.js,false,false
367,d3/d3-selection/selection/order.js,false,false
617,d3/d3-selection/selection/property.js,false,false
138,d3/d3-selection/selection/raise.js,false,false
153,d3/d3-selection/selection/remove.js,false,false
653,d3/d3-selection/selection/select.js,false,false
550,d3/d3-selection/selection/selectAll.js,false,false
98,d3/d3-selection/selection/size.js,false,false
681,d3/d3-selection/selection/sort.js,false,false
71,d3/d3-selection/selection/sparse.js,false,false
889,d3/d3-selection/selection/style.js,false,false
528,d3/d3-selection/selection/text.js,false,false
152,d3/d3-selection/selector.js,false,false
171,d3/d3-selection/selectorAll.js,false,false
175,d3/d3-selection/sourceEvent.js,false,false
407,d3/d3-selection/touch.js,false,false
323,d3/d3-selection/touches.js,false,false
218,d3/d3-selection/window.js,false,false
8831,d3/d3-shape/arc.js,false,false
2917,d3/d3-shape/area.js,false,false
42,d3/d3-shape/array.js,false,false
81,d3/d3-shape/constant.js,false,false
1436,d3/d3-shape/curve/basis.js,false,false
1530,d3/d3-shape/curve/basisClosed.js,false,false
1069,d3/d3-shape/curve/basisOpen.js,false,false
1081,d3/d3-shape/curve/bundle.js,false,false
1633,d3/d3-shape/curve/cardinal.js,false,false
1605,d3/d3-shape/curve/cardinalClosed.js,false,false
1288,d3/d3-shape/curve/cardinalOpen.js,false,false
2637,d3/d3-shape/curve/catmullRom.js,false,false
2083,d3/d3-shape/curve/catmullRomClosed.js,false,false
1760,d3/d3-shape/curve/catmullRomOpen.js,false,false
738,d3/d3-shape/curve/linear.js,false,false
514,d3/d3-shape/curve/linearClosed.js,false,false
3203,d3/d3-shape/curve/monotone.js,false,false
1761,d3/d3-shape/curve/natural.js,false,false
655,d3/d3-shape/curve/radial.js,false,false
1367,d3/d3-shape/curve/step.js,false,false
86,d3/d3-shape/descending.js,false,false
43,d3/d3-shape/identity.js,false,false
1516,d3/d3-shape/line.js,false,false
106,d3/d3-shape/math.js,false,false
29,d3/d3-shape/noop.js,false,false
319,d3/d3-shape/offset/expand.js,false,false
310,d3/d3-shape/offset/none.js,false,false
314,d3/d3-shape/offset/silhouette.js,false,false
740,d3/d3-shape/offset/wiggle.js,false,false
305,d3/d3-shape/order/ascending.js,false,false
112,d3/d3-shape/order/descending.js,false,false
545,d3/d3-shape/order/insideOut.js,false,false
120,d3/d3-shape/order/none.js,false,false
97,d3/d3-shape/order/reverse.js,false,false
2336,d3/d3-shape/pie.js,false,false
81,d3/d3-shape/point.js,false,false
934,d3/d3-shape/radialArea.js,false,false
396,d3/d3-shape/radialLine.js,false,false
1432,d3/d3-shape/stack.js,false,false
186,d3/d3-shape/symbol/circle.js,false,false
476,d3/d3-shape/symbol/cross.js,false,false
307,d3/d3-shape/symbol/diamond.js,false,false
137,d3/d3-shape/symbol/square.js,false,false
609,d3/d3-shape/symbol/star.js,false,false
255,d3/d3-shape/symbol/triangle.js,false,false
733,d3/d3-shape/symbol/wye.js,false,false
1160,d3/d3-shape/symbol.js,false,false
867,d3/d3-time-format/defaultLocale.js,false,false
284,d3/d3-time-format/isoFormat.js,false,false
319,d3/d3-time-format/isoParse.js,false,false
13876,d3/d3-time-format/locale.js,false,false
462,d3/d3-time/day.js,false,false
164,d3/d3-time/duration.js,false,false
569,d3/d3-time/hour.js,false,false
1845,d3/d3-time/interval.js,false,false
668,d3/d3-time/millisecond.js,false,false
437,d3/d3-time/minute.js,false,false
414,d3/d3-time/month.js,false,false
440,d3/d3-time/second.js,false,false
397,d3/d3-time/utcDay.js,false,false
399,d3/d3-time/utcHour.js,false,false
412,d3/d3-time/utcMinute.js,false,false
453,d3/d3-time/utcMonth.js,false,false
979,d3/d3-time/utcWeek.js,false,false
808,d3/d3-time/utcYear.js,false,false
963,d3/d3-time/week.js,false,false
754,d3/d3-time/year.js,false,false
400,d3/d3-timer/interval.js,false,false
250,d3/d3-timer/timeout.js,false,false
2771,d3/d3-timer/timer.js,false,false
484,d3/d3-transition/active.js,false,false
665,d3/d3-transition/interrupt.js,false,false
245,d3/d3-transition/selection/index.js,false,false
138,d3/d3-transition/selection/interrupt.js,false,false
1090,d3/d3-transition/selection/transition.js,false,false
2473,d3/d3-transition/transition/attr.js,false,false
904,d3/d3-transition/transition/attrTween.js,false,false
510,d3/d3-transition/transition/delay.js,false,false
528,d3/d3-transition/transition/duration.js,false,false
348,d3/d3-transition/transition/ease.js,false,false
574,d3/d3-transition/transition/filter.js,false,false
1892,d3/d3-transition/transition/index.js,false,false
340,d3/d3-transition/transition/interpolate.js,false,false
653,d3/d3-transition/transition/merge.js,false,false
853,d3/d3-transition/transition/on.js,false,false
284,d3/d3-transition/transition/remove.js,false,false
4792,d3/d3-transition/transition/schedule.js,false,false
826,d3/d3-transition/transition/select.js,false,false
883,d3/d3-transition/transition/selectAll.js,false,false
174,d3/d3-transition/transition/selection.js,false,false
2119,d3/d3-transition/transition/style.js,false,false
607,d3/d3-transition/transition/styleTween.js,false,false
473,d3/d3-transition/transition/text.js,false,false
691,d3/d3-transition/transition/transition.js,false,false
2026,d3/d3-transition/transition/tween.js,false,false
4381,d3/d3-voronoi/Beach.js,false,false
4087,d3/d3-voronoi/Cell.js,false,false
1632,d3/d3-voronoi/Circle.js,false,false
72,d3/d3-voronoi/constant.js,false,false
3415,d3/d3-voronoi/Diagram.js,false,false
3634,d3/d3-voronoi/Edge.js,false,false
81,d3/d3-voronoi/point.js,false,false
5302,d3/d3-voronoi/RedBlackTree.js,false,false
1420,d3/d3-voronoi/voronoi.js,false,false
72,d3/d3-zoom/constant.js,false,false
137,d3/d3-zoom/event.js,false,false
202,d3/d3-zoom/noevent.js,false,false
1336,d3/d3-zoom/transform.js,false,false
12133,d3/d3-zoom/zoom.js,false,false
